药物名称,drug_name,smiles,药物别名,全球最高研发状态,中国最高研发状态,首批年份,原研公司,Active公司,治疗领域/适应症,全球批准适应症,中国批准适应症,全球最高研发状态适应症,中国最高研发状态适应症,Active适应症,ATC代码,靶点,作用机制,药物类型大类,药物类型,中国一类,是否NME,是否复方,是否First-in-Class,是否QIDP,国家/区域,上市国家/区域,首批国家/区域,CAS 号,Inactive公司,Inactive适应症,最后更新日期,drugbank_url
Pyrimethamine/Sulfadoxine(乙胺嘧啶/磺胺多辛),Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,"Fansidar; Kamsidar; Maldox; 
Sulfadoxine/pyrimethamine; sulfadoxime and pyrimethamine; Pyrimethamine - sulfadoxine; G-COSPE; 
磺胺多辛/乙胺嘧啶; 
ピリメタミン•スルファドキシン;
",批准上市,批准上市,1981,"罗氏;
","桂林南药股份有限公司;
","细菌感染;
疟原虫感染;
","细菌感染;
","细菌感染;
","细菌感染;
","细菌感染;
","细菌感染;
","P01BD51;
","Folate;
DHFR;
","Folate inhibitors(叶酸抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"美国;
中国大陆;
","中国大陆;
","美国;
",2447-57-6(Sulfadoxine); 58-14-0(Pyrimethamine);,"罗氏;
","疟原虫感染;
",2020-10-12,https://go.drugbank.com/drugs/DB00205
Pyrimethamine/Sulfadoxine(乙胺嘧啶/磺胺多辛),Sulfadoxine,COC1=NC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1OC,"Fansidar; Kamsidar; Maldox; 
Sulfadoxine/pyrimethamine; sulfadoxime and pyrimethamine; Pyrimethamine - sulfadoxine; G-COSPE; 
磺胺多辛/乙胺嘧啶; 
ピリメタミン•スルファドキシン;
",批准上市,批准上市,1981,"罗氏;
","桂林南药股份有限公司;
","细菌感染;
疟原虫感染;
","细菌感染;
","细菌感染;
","细菌感染;
","细菌感染;
","细菌感染;
","P01BD51;
","Folate;
DHFR;
","Folate inhibitors(叶酸抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"美国;
中国大陆;
","中国大陆;
","美国;
",2447-57-6(Sulfadoxine); 58-14-0(Pyrimethamine);,"罗氏;
","疟原虫感染;
",2020-10-12,https://go.drugbank.com/drugs/DB01299
Trimethoprim(甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"BW-56-72; NSC-10656; 
Trimpex; Tediprima; Proloprim; 
trimetoprima; trimethoprimum; 
三甲氧苄胺嘧啶; 三甲氧苄二氨嘧啶; 磺胺增效剂; 甲氧苄氨嘧啶; 甲氧苄胺嘧啶; 特一; 三甲氧苄啶; 
トリメトプリム;
",批准上市,批准上市,1980,NA,NA,"细菌感染;
",NA,NA,NA,NA,NA,"J01EA01;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"美国;
中国大陆;
","中国大陆;
","美国;
",738-70-5(Trimethoprim);,"Monarch Pharmaceuticals Llc;
","细菌感染;
",2020-11-10,https://go.drugbank.com/drugs/DB00440
Sulfamethoxazole/Trimethoprim(磺胺甲噁唑/甲氧苄啶),Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,"Septra Ds; Bactrim; Septra; Bactrim Ds; 
Co-trimoxazole; Trimethoprim/Sulfamethoxazole; Sulfamethoxazole and Trimethoprim; Cotrimoxazole; 
甲氧苄啶磺胺甲噁唑; 磺胺甲噁唑甲氧苄啶; 甲氧苄啶/磺胺甲噁唑; 复方磺胺甲噁唑; 
スルファメトキサゾール•トリメトプリム;
",批准上市,批准上市,1973,"辉瑞;
","Monarch Pharmaceuticals Llc;
天津力生制药股份有限公司;
","细菌感染;
痢疾;
慢性支气管炎;
泌尿系统感染;
志贺氏菌感染;
中耳炎;
肺孢子菌肺炎;
HIV感染;
疟原虫感染;
","细菌感染;
痢疾;
慢性支气管炎;
泌尿系统感染;
志贺氏菌感染;
中耳炎;
","细菌感染;
","细菌感染;
痢疾;
慢性支气管炎;
泌尿系统感染;
志贺氏菌感染;
中耳炎;
","细菌感染;
","细菌感染;
痢疾;
慢性支气管炎;
泌尿系统感染;
志贺氏菌感染;
中耳炎;
","J01EE01;
","DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"美国;
中非共和国;
中国大陆;
","美国;
中国大陆;
","美国;
",738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,"Institut Pasteur De Paris;
上海复星医药（集团）股份有限公司;
","HIV感染;
肺孢子菌肺炎;
疟原虫感染;
",2021-09-28,https://go.drugbank.com/drugs/DB01015
Sulfamethoxazole/Trimethoprim(磺胺甲噁唑/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Septra Ds; Bactrim; Septra; Bactrim Ds; 
Co-trimoxazole; Trimethoprim/Sulfamethoxazole; Sulfamethoxazole and Trimethoprim; Cotrimoxazole; 
甲氧苄啶磺胺甲噁唑; 磺胺甲噁唑甲氧苄啶; 甲氧苄啶/磺胺甲噁唑; 复方磺胺甲噁唑; 
スルファメトキサゾール•トリメトプリム;
",批准上市,批准上市,1973,"辉瑞;
","Monarch Pharmaceuticals Llc;
天津力生制药股份有限公司;
","细菌感染;
痢疾;
慢性支气管炎;
泌尿系统感染;
志贺氏菌感染;
中耳炎;
肺孢子菌肺炎;
HIV感染;
疟原虫感染;
","细菌感染;
痢疾;
慢性支气管炎;
泌尿系统感染;
志贺氏菌感染;
中耳炎;
","细菌感染;
","细菌感染;
痢疾;
慢性支气管炎;
泌尿系统感染;
志贺氏菌感染;
中耳炎;
","细菌感染;
","细菌感染;
痢疾;
慢性支气管炎;
泌尿系统感染;
志贺氏菌感染;
中耳炎;
","J01EE01;
","DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"美国;
中非共和国;
中国大陆;
","美国;
中国大陆;
","美国;
",738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,"Institut Pasteur De Paris;
上海复星医药（集团）股份有限公司;
","HIV感染;
肺孢子菌肺炎;
疟原虫感染;
",2021-09-28,https://go.drugbank.com/drugs/DB00440
Trimethoprim hydrochloride(盐酸甲氧苄啶),Trimethoprim hydrochloride,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Primsol; 
盐酸甲氧苄氨嘧啶; 
",批准上市,无申报,1962,NA,"Allegis Group;
","中耳炎;
肺孢子菌肺炎;
泌尿系统感染;
","中耳炎;
肺孢子菌肺炎;
泌尿系统感染;
",NA,"中耳炎;
肺孢子菌肺炎;
泌尿系统感染;
",NA,"中耳炎;
肺孢子菌肺炎;
泌尿系统感染;
","J01EA01;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"美国;
","美国;
",NA,60834-30-2(Trimethoprim hydrochloride);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB00440
Methotrexate Sodium(甲氨蝶呤钠),Methotrexate Sodium,[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(C)CC1=NC2=C(N)NC(=N)N=C2N=C1)C(O)=O,"G-301; MPI-5004; MPI-2505; APC-2002; 
Intradose-MTX; Farmitrexat; Amethopterin (sodium salt); 
メトトレキサート;
",批准上市,无申报,1953,"远藤制药;
","Aldeyra Therapeutics Inc;
Azidus Brasil;
Cumberland Pharmaceuticals;
Dava Pharmaceuticals Inc;
Nordic Group Bv;
","系统性少年特发性关节炎;
银屑病;
幼年型类风湿性关节炎;
类风湿关节炎;
银屑病关节炎;
非霍奇金淋巴瘤;
急性淋巴细胞白血病;
蕈样真菌病;
增生性玻璃体视网膜病变;
新型冠状病毒肺炎;
","系统性少年特发性关节炎;
银屑病;
幼年型类风湿性关节炎;
类风湿关节炎;
银屑病关节炎;
非霍奇金淋巴瘤;
急性淋巴细胞白血病;
蕈样真菌病;
",NA,"系统性少年特发性关节炎;
银屑病;
幼年型类风湿性关节炎;
类风湿关节炎;
银屑病关节炎;
非霍奇金淋巴瘤;
急性淋巴细胞白血病;
蕈样真菌病;
",NA,"系统性少年特发性关节炎;
银屑病;
幼年型类风湿性关节炎;
类风湿关节炎;
银屑病关节炎;
非霍奇金淋巴瘤;
急性淋巴细胞白血病;
蕈样真菌病;
增生性玻璃体视网膜病变;
新型冠状病毒肺炎;
","L01BA01;
L04AX03;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"美国;
巴西;
印度;
欧洲联盟;
","美国;
欧洲联盟;
","美国;
",7413-34-5(Methotrexate Sodium);,"Amneal Pharmaceuticals Llc;
印度瑞迪博士实验室有限公司;
",NA,2020-08-28,https://go.drugbank.com/drugs/DB00563
Pyrimethamine(乙胺嘧啶),Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,"TRP-004; EXR-101; GLG-801; 
Daraprim; 
乙嘧啶; 溴苄铵; 息疟定; 乙胺咪啶; 利美达民; 达拉匹林; 
ピリメタミン;
",批准上市,批准上市,1953,"Turing Pharmaceuticals;
","成都第一制药有限公司;
地奥集团成都药业股份有限公司;
Vyera Pharmaceuticals Llc;
","感染;
疟原虫感染;
","感染;
疟原虫感染;
","感染;
","感染;
疟原虫感染;
","感染;
","感染;
疟原虫感染;
","P01BD01;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"美国;
中国大陆;
","美国;
中国大陆;
","美国;
",58-14-0(Pyrimethamine);,NA,NA,2021-12-01,https://go.drugbank.com/drugs/DB00205
Methotrexate(甲氨蝶呤),Methotrexate,[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(C)CC1=NC2=C(N)NC(=N)N=C2N=C1)C(O)=O,"CL-14377; WR-19039; NSC-740; 
Emtexate; Otrexup; Lantarel; Metrotex; Novatrex; Tremetex; Trexeron; Trixilem; Emthexate; Folex PFS; Mexate-AQ; Rheumatrex; Ledertrexate; Methoblastin; Methotrexate LPF; Folex; Metex; Mexate; Rasuvo; Texate; Xatmep; Lumexon; Maxtrex; Emthexat; 
Brimexate; MTX-ATMPs; Me totrexat; Amethopterin; Medsatrexate; α-Methopterin; Me thotrexatum; Alpha-Methopterin; Methylaminopterin; MTX; 
氨甲蝶呤; 氨甲基叶酸; 
",批准上市,批准上市,1953,"Antares Pharma;
","Accord Healthcare Inc;
Antares Pharma;
Antares Pharma Inc;
江苏恒瑞医药股份有限公司;
江苏盛迪医药有限公司;
上海百迈博制药有限公司;
三生国健药业（上海）股份有限公司;
上海上药信谊药厂有限公司;
Therakind (Europe) Ltd;
","双表型急性白血病;
急性淋巴细胞白血病;
类风湿关节炎;
银屑病关节炎;
银屑病;
幼年型类风湿性关节炎;
白血病;
肺癌;
睾丸肿瘤;
宫颈癌;
卵巢癌;
绒毛膜癌;
肉瘤;
乳腺癌;
头颈癌;
骨肉瘤;
","双表型急性白血病;
急性淋巴细胞白血病;
类风湿关节炎;
银屑病关节炎;
银屑病;
幼年型类风湿性关节炎;
白血病;
肺癌;
睾丸肿瘤;
宫颈癌;
卵巢癌;
绒毛膜癌;
肉瘤;
乳腺癌;
头颈癌;
骨肉瘤;
","白血病;
肺癌;
睾丸肿瘤;
宫颈癌;
卵巢癌;
绒毛膜癌;
肉瘤;
乳腺癌;
头颈癌;
银屑病;
","双表型急性白血病;
急性淋巴细胞白血病;
类风湿关节炎;
银屑病关节炎;
银屑病;
幼年型类风湿性关节炎;
白血病;
肺癌;
睾丸肿瘤;
宫颈癌;
卵巢癌;
绒毛膜癌;
肉瘤;
乳腺癌;
头颈癌;
骨肉瘤;
","白血病;
肺癌;
睾丸肿瘤;
宫颈癌;
卵巢癌;
绒毛膜癌;
肉瘤;
乳腺癌;
头颈癌;
银屑病;
","双表型急性白血病;
急性淋巴细胞白血病;
类风湿关节炎;
银屑病关节炎;
银屑病;
幼年型类风湿性关节炎;
白血病;
肺癌;
睾丸肿瘤;
宫颈癌;
卵巢癌;
绒毛膜癌;
肉瘤;
乳腺癌;
头颈癌;
骨肉瘤;
","L01BA01;
L04AX03;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"荷兰;
新西兰;
秘鲁;
波兰;
葡萄牙;
波多黎各;
罗马尼亚;
俄罗斯联邦;
南非;
韩国;
西班牙;
英国;
美国;
阿根廷;
澳大利亚;
奥地利;
比利时;
保加利亚;
加拿大;
智利;
中国大陆;
芬兰;
法国;
德国;
希腊;
匈牙利;
拉脱维亚;
墨西哥;
欧洲联盟;
捷克;
","美国;
中国大陆;
欧洲联盟;
",NA,59-05-2(Methotrexate);,"安进;
礼来制药;
葛兰素史克;
Janssen Biotech Inc;
Lg生命科学;
",NA,2020-08-28,https://go.drugbank.com/drugs/DB00563
Sulfamethoxazole/Sulfadiazine/Trimethoprim(磺胺甲噁唑/磺胺嘧啶/甲氧苄啶),Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,"联磺甲氧苄啶; 君独克; 
Sulfamethoxazale，Sulfadiazine and Trimethoprim Tablets; 
联磺甲氧苄啶; 
",批准上市,批准上市,NA,NA,NA,"泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","J01EE;
","DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,68-35-9(Sulfadiazine); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB01015
Sulfamethoxazole/Sulfadiazine/Trimethoprim(磺胺甲噁唑/磺胺嘧啶/甲氧苄啶),Sulfadiazine,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,"联磺甲氧苄啶; 君独克; 
Sulfamethoxazale，Sulfadiazine and Trimethoprim Tablets; 
联磺甲氧苄啶; 
",批准上市,批准上市,NA,NA,NA,"泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","J01EE;
","DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,68-35-9(Sulfadiazine); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00359
