标题,标题链接,CatalogNo.,CasNo.,Name,ReaxyNo.,CNName,cards-box,cards-box-desc1
>furan-3-yl-boronic acid,http://www.acemol.com/55552-70-0.html,Catalog No.:AMBA00021,Cas No.: 55552-70-0,>furan-3-yl-boronic acid,Reaxy No.:1635653,CN Name:3-呋喃硼酸,55552-70-0,OB(O)C1=COC=C1
>(4-hydroxyphenyl)boronic acid,http://www.acemol.com/71597-85-8.html,Catalog No.:AMBA00022,Cas No.: 71597-85-8,>(4-hydroxyphenyl)boronic acid,Reaxy No.:2963491,CN Name:4-羟基苯硼酸,71597-85-8,OB(O)C1=CC=C(O)C=C1
>2-biphenylboronic acid,http://www.acemol.com/4688-76-0.html,Catalog No.:AMBA00023,Cas No.: 4688-76-0,>2-biphenylboronic acid,Reaxy No.:3031806,CN Name:2-联苯硼酸,4688-76-0,OB(O)C1=CC=CC=C1C1=CC=CC=C1
">4-[4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl]-phenol",http://www.acemol.com/269409-70-3.html,Catalog No.:AMBA00024,Cas No.: 269409-70-3,">4-[4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl]-phenol",Reaxy No.:9327105,CN Name:4-羟基苯硼酸频哪醇酯,269409-70-3,CC1(C)OB(OC1(C)C)C1=CC=C(O)C=C1
>[1-(tert-butyldimethylsilanyl)-5-fluoro-1H-indol-4-yl]boronic acid,http://www.acemol.com/1093066-72-8.html,Catalog No.:AMBA00025,Cas No.: 1093066-72-8,>[1-(tert-butyldimethylsilanyl)-5-fluoro-1H-indol-4-yl]boronic acid,Reaxy No.:18776284,CN Name:1-叔丁基二甲基硅基-5氟吲哚-4-硼酸,1093066-72-8,CC(C)(C)[Si](C)(C)N1C=CC2=C1C=CC(F)=C2B(O)O
>(5-formyl-1H-pyrrol-2-yl)boronic acid,http://www.acemol.com/1021342-99-3.html,Catalog No.:AMBA00026,Cas No.: 1021342-99-3,>(5-formyl-1H-pyrrol-2-yl)boronic acid,Reaxy No.:19604251,CN Name:5-醛基吡咯-2-硼酸,1021342-99-3,OB(O)C1=CC=C(N1)C=O
>3-fluoro-5-formylphenylboronic acid,http://www.acemol.com/328956-60-1.html,Catalog No.:AMBA00027,Cas No.: 328956-60-1,>3-fluoro-5-formylphenylboronic acid,Reaxy No.:20390306,CN Name:3-氟-5-甲酰基苯硼酸,328956-60-1,OB(O)C1=CC(F)=CC(C=O)=C1
">3-((4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole-1-yl)methyl)pyridine",http://www.acemol.com/864754-21-2.html,Catalog No.:AMBA00028,Cas No.: 864754-21-2,">3-((4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole-1-yl)methyl)pyridine",Reaxy No.:14518143,CN Name:1-(3-吡啶甲基)-1H-吡唑-4-硼酸频哪醇酯,864754-21-2,CC1(C)OB(OC1(C)C)C1=CN(CC2=CC=CN=C2)N=C1
>2-(4-phenylboronic acid)propan-2-ol,http://www.acemol.com/886593-45-9.html,Catalog No.:AMBA00029,Cas No.: 886593-45-9,>2-(4-phenylboronic acid)propan-2-ol,Reaxy No.:14549953,CN Name:4-(2-羟基丙烷-2-基)苯硼酸,886593-45-9,CC(C)(O)C1=CC=C(C=C1)B(O)O
">1,5-dimethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",http://www.acemol.com/1036991-40-8.html,Catalog No.:AMBA00030,Cas No.: 1036991-40-8,">1,5-dimethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",Reaxy No.:18505464,"CN Name:1,5-二甲基-1H-吡唑-4-硼酸频哪醇酯",1036991-40-8,CN1N=CC(B2OC(C)(C)C(C)(C)O2)=C1C
">2-(4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazol-1-yl)ethanol",http://www.acemol.com/1040377-08-9.html,Catalog No.:AMBA00031,Cas No.: 1040377-08-9,">2-(4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazol-1-yl)ethanol",Reaxy No.:15653972,CN Name:1-(2-(四氢-2H-吡喃-2-基氧)乙基)-1H-4-吡唑硼酸频哪醇酯,1040377-08-9,CC1(C)OB(OC1(C)C)C1=CN(CCO)N=C1
">2-chloro-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine",http://www.acemol.com/458532-84-8.html,Catalog No.:AMBA00032,Cas No.: 458532-84-8,">2-chloro-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine",Reaxy No.:9123373,CN Name:2-氯吡啶-4-硼酸频哪醇酯,458532-84-8,CC1(C)OB(OC1(C)C)C1=CC(Cl)=NC=C1
>(2-methylpyridin-4-yl)boronic acid,http://www.acemol.com/579476-63-4.html,Catalog No.:AMBA00033,Cas No.: 579476-63-4,>(2-methylpyridin-4-yl)boronic acid,Reaxy No.:9550832,CN Name:2-甲基-4-吡啶硼酸,579476-63-4,CC1=NC=CC(=C1)B(O)O
">2-methyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-pyridine",http://www.acemol.com/660867-80-1.html,Catalog No.:AMBA00034,Cas No.: 660867-80-1,">2-methyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-pyridine",Reaxy No.:14313920,"CN Name:2-甲基吡啶-4-硼酸频哪酯,95%",660867-80-1,CC1=CC(=CC=N1)B1OC(C)(C)C(C)(C)O1
">Boronic acid, B-4-isoxazolyl-",http://www.acemol.com/1008139-25-0.html,Catalog No.:AMBA00035,Cas No.: 1008139-25-0,">Boronic acid, B-4-isoxazolyl-",Reaxy No.:,CN Name:异恶唑-4-硼酸,1008139-25-0,OB(O)C1=CON=C1
">1-(tert-butyldimethylsilyl)-5-fluoro-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-indole",http://www.acemol.com/1148004-02-7.html,Catalog No.:AMBA00036,Cas No.: 1148004-02-7,">1-(tert-butyldimethylsilyl)-5-fluoro-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-indole",Reaxy No.:21698718,"CN Name:1-(叔丁基二甲基)-5-氟-4-(4,4,5,5-四甲基-1,3,2-二氧硼杂环戊烷-2-基）-1H-吲哚",1148004-02-7,CC(C)(C)[Si](C)(C)N1C=CC2=C1C=CC(F)=C2B1OC(C)(C)C(C)(C)O1
">5-fluoro-4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-1H-indole",http://www.acemol.com/1072009-08-5.html,Catalog No.:AMBA00037,Cas No.: 1072009-08-5,">5-fluoro-4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-1H-indole",Reaxy No.:15590381,"CN Name:5-氟-4-（4,4,5,5-四甲基 - [1,3,2]二氧硼戊环-2-基）-1H-吲哚",1072009-08-5,CC1(C)OB(OC1(C)C)C1=C(F)C=CC2=C1C=CN2
">1-methyl-3-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-1H-pyrazole",http://www.acemol.com/1020174-04-2.html,Catalog No.:AMBA00038,Cas No.: 1020174-04-2,">1-methyl-3-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-1H-pyrazole",Reaxy No.:15583914,CN Name:1-甲基吡唑-3-硼酸片呐醇酯,1020174-04-2,CN1C=CC(=N1)B1OC(C)(C)C(C)(C)O1
>3-fluoro-2-formylphenylboronic acid,http://www.acemol.com/871126-15-7.html,Catalog No.:AMBA00039,Cas No.: 871126-15-7,>3-fluoro-2-formylphenylboronic acid,Reaxy No.:,CN Name:3-氟-2-甲酰基苯硼酸,871126-15-7,OB(O)C1=CC=CC(F)=C1C=O
">4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",http://www.acemol.com/269410-08-4.html,Catalog No.:AMBA00040,Cas No.: 269410-08-4,">4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",Reaxy No.:11072822,CN Name:4-吡唑硼酸频哪醇酯,269410-08-4,CC1(C)OB(OC1(C)C)C1=CNN=C1
>4-dibenzofuranylboronic acid,http://www.acemol.com/100124-06-9.html,Catalog No.:AMBA00041,Cas No.: 100124-06-9,>4-dibenzofuranylboronic acid,Reaxy No.:4361113,CN Name:4-二苯并呋喃硼酸,100124-06-9,OB(O)C1=CC=CC2=C1OC1=C2C=CC=C1
">1-(tetrahydro-2H-pyran-2-yl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",http://www.acemol.com/1003846-21-6.html,Catalog No.:AMBA00042,Cas No.: 1003846-21-6,">1-(tetrahydro-2H-pyran-2-yl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",Reaxy No.:1645426,"CN Name:1-(四氢-2H-吡喃-2-基)-4-(4,4,5,5-四甲基-1,3,2-二氧硼杂环戊烷-2-基)-1H-吡唑",1003846-21-6,CC1(C)OB(OC1(C)C)C1=CN(N=C1)C1CCCCO1
">5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-benzo[d]imidazole",http://www.acemol.com/1007206-54-3.html,Catalog No.:AMBA00043,Cas No.: 1007206-54-3,">5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-benzo[d]imidazole",Reaxy No.:15622181,"CN Name:5-(4,4,5,5-四甲基-1,3,2-二氧硼杂环戊烷-2-基)-1H-苯并[d]咪唑",1007206-54-3,CC1(C)OB(OC1(C)C)C1=CC2=C(NC=N2)C=C1
>4-(4-pyridyl)phenylboronic acid pinacol ester,http://www.acemol.com/1009033-87-7.html,Catalog No.:AMBA00044,Cas No.: 1009033-87-7,>4-(4-pyridyl)phenylboronic acid pinacol ester,Reaxy No.:20872316,CN Name:4-(4-吡啶基)苯基硼酸频哪醇酯,1009033-87-7,CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)C1=CC=NC=C1
">5-(4,4,5,5-tetramethyl[1,3,2]dioxaborolan-2-yl)pyridin-3-ylamine",http://www.acemol.com/1073354-99-0.html,Catalog No.:AMBA00045,Cas No.: 1073354-99-0,">5-(4,4,5,5-tetramethyl[1,3,2]dioxaborolan-2-yl)pyridin-3-ylamine",Reaxy No.:18873102,"CN Name:5-(4,4,5,5-四甲基[1,3,2]二氧硼戊环-2-基)吡啶-3-基胺",1073354-99-0,CC1(C)OB(OC1(C)C)C1=CC(N)=CN=C1
">3-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-5-(trifluoromethyl)pyridine",http://www.acemol.com/1084953-47-8.html,Catalog No.:AMBA00046,Cas No.: 1084953-47-8,">3-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-5-(trifluoromethyl)pyridine",Reaxy No.:20668284,"CN Name:3-(4,4,5,5-四甲基-1,3,2-二氧硼戊环-2-基)-5-(三氟甲基)吡啶",1084953-47-8,CC1(C)OB(OC1(C)C)C1=CN=CC(=C1)C(F)(F)F
>[1-(tetrahydro-2H-pyran-2-yl)-1H-pyrazol-5-yl]boronic acid,http://www.acemol.com/1105511-68-9.html,Catalog No.:AMBA00047,Cas No.: 1105511-68-9,>[1-(tetrahydro-2H-pyran-2-yl)-1H-pyrazol-5-yl]boronic acid,Reaxy No.:18792658,CN Name:[1-(四氢-2H-吡喃-2-基)-1H-吡唑-5-基]硼酸,1105511-68-9,OB(O)C1=CC=NN1C1CCCCO1
">6-(4,4,5,5-tetramethyl[1,3,2]dioxaborolan-2-yl)[1,2,4]triazolo[1,5-a]pyridine",http://www.acemol.com/1160790-18-0.html,Catalog No.:AMBA00048,Cas No.: 1160790-18-0,">6-(4,4,5,5-tetramethyl[1,3,2]dioxaborolan-2-yl)[1,2,4]triazolo[1,5-a]pyridine",Reaxy No.:18967406,"CN Name:6-(4,4,5,5-四甲基[1,3,2]二氧硼戊环-2-基)[1,2,4]三唑并[1,5-a]吡啶",1160790-18-0,CC1(C)OB(OC1(C)C)C1=CN2N=CN=C2C=C1
">tert-butyl (5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridin-3-yl)carbamate",http://www.acemol.com/1171897-39-4.html,Catalog No.:AMBA00049,Cas No.: 1171897-39-4,">tert-butyl (5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridin-3-yl)carbamate",Reaxy No.:19217760,"CN Name:叔丁基(5-(4,4,5,5-四甲基-1,3,2-二氧硼杂环戊烷-2-基)吡啶-3-基)氨基甲酸叔丁酯",1171897-39-4,CC(C)(C)OC(=O)NC1=CC(=CN=C1)B1OC(C)(C)C(C)(C)O1
">N-(5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridin-3-yl)acetamide",http://www.acemol.com/1201645-46-6.html,Catalog No.:AMBA00050,Cas No.: 1201645-46-6,">N-(5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridin-3-yl)acetamide",Reaxy No.:19330771,CN Name:3-乙酰氨基-吡啶-5-硼酸频哪醇酯,1201645-46-6,CC(=O)NC1=CN=CC(=C1)B1OC(C)(C)C(C)(C)O1
">Imidazo[1,2-a]pyridine,6-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-",http://www.acemol.com/1204742-76-6.html,Catalog No.:AMBA00051,Cas No.: 1204742-76-6,">Imidazo[1,2-a]pyridine,6-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-",Reaxy No.:19927460,"CN Name:咪唑并[1,2-a]吡啶，6-(4,4,5,5-四甲基-1,3,2-二氧硼杂环戊烷-2-基)-",1204742-76-6,CC1(C)OB(OC1(C)C)C1=CN2C=CN=C2C=C1
>(4-cyano-phenyl)boronic acid,http://www.acemol.com/126747-14-6.html,Catalog No.:AMBA00052,Cas No.: 126747-14-6,>(4-cyano-phenyl)boronic acid,Reaxy No.:,CN Name:(4-氰基苯基)硼酸,126747-14-6,OB(O)C1=CC=C(C=C1)C#N
">tert-butyl 4-[2-cyano-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenoxy]piperidine-1-carboxylate",http://www.acemol.com/1292317-57-7.html,Catalog No.:AMBA00053,Cas No.: 1292317-57-7,">tert-butyl 4-[2-cyano-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenoxy]piperidine-1-carboxylate",Reaxy No.:6593772,"CN Name:叔丁基-4-〔2-氰基-4-(4,4,5,5-四甲基-1,3,2-二氧硼杂环戊烷-2-基)苯氧基]哌啶-1-甲酸叔丁酯",1292317-57-7,CC(C)(C)OC(=O)N1CCC(CC1)OC1=C(C=C(C=C1)B1OC(C)(C)C(C)(C)O1)C#N
>3-nitro-phenyl boronic acid,http://www.acemol.com/13331-27-6.html,Catalog No.:AMBA00054,Cas No.: 13331-27-6,>3-nitro-phenyl boronic acid,Reaxy No.:21421921,CN Name:3-硝基苯硼酸,13331-27-6,OB(O)C1=CC(=CC=C1)N(=O)=O
>(4-Chlorophenyl)-boronic acid,http://www.acemol.com/1679-18-1.html,Catalog No.:AMBA00055,Cas No.: 1679-18-1,>(4-Chlorophenyl)-boronic acid,Reaxy No.:2938638,CN Name:4-氯苯硼酸,1679-18-1,OB(O)C1=CC=C(Cl)C=C1
>4-(pyridin-2-yl)phenylboronic acid,http://www.acemol.com/170230-27-0.html,Catalog No.:AMBA00056,Cas No.: 170230-27-0,>4-(pyridin-2-yl)phenylboronic acid,Reaxy No.:2936346,CN Name:4-(吡啶-2-基)苯基硼酸,170230-27-0,OB(O)C1=CC=C(C=C1)C1=NC=CC=C1
>4-fluorophenyl boronic acid,http://www.acemol.com/1765-93-1.html,Catalog No.:AMBA00057,Cas No.: 1765-93-1,>4-fluorophenyl boronic acid,Reaxy No.:20677640,CN Name:4-氟苯硼酸,1765-93-1,OB(O)C1=CC=C(F)C=C1
>quinolin-3-ylboronic Acid,http://www.acemol.com/191162-39-7.html,Catalog No.:AMBA00058,Cas No.: 191162-39-7,>quinolin-3-ylboronic Acid,Reaxy No.:2829653,CN Name:喹啉-3-硼酸,191162-39-7,OB(O)C1=CC2=C(C=CC=C2)N=C1
">2-(4-Aminophenyl)-4,4,5,5-tetramethyl-1,3,2-dioxaborolane",http://www.acemol.com/214360-73-3.html,Catalog No.:AMBA00059,Cas No.: 214360-73-3,">2-(4-Aminophenyl)-4,4,5,5-tetramethyl-1,3,2-dioxaborolane",Reaxy No.:8764547,CN Name:4-氨基苯硼酸频哪醇酯,214360-73-3,CC1(C)OB(OC1(C)C)C1=CC=C(N)C=C1
>p-nitrophenyl boronic acid,http://www.acemol.com/24067-17-2.html,Catalog No.:AMBA00060,Cas No.: 24067-17-2,>p-nitrophenyl boronic acid,Reaxy No.:9049485,CN Name:4-硝基苯基硼酸,24067-17-2,OB(O)C1=CC=C(C=C1)N(=O)=O
